ACC:-992,-604,16544;GYRO:-181,-401,-229;
ACC:-994,-605,16536;GYRO:-182,-401,-230;
ACC:-994,-603,16527;GYRO:-182,-401,-231;
ACC:-995,-603,16510;GYRO:-183,-401,-232;
ACC:-993,-602,16497;GYRO:-183,-401,-233;
ACC:-993,-599,16486;GYRO:-183,-401,-233;
ACC:-992,-594,16476;GYRO:-183,-401,-233;
ACC:-991,-589,16468;GYRO:-183,-400,-234;
ACC:-992,-589,16463;GYRO:-184,-400,-234;
ACC:-992,-589,16457;GYRO:-183,-401,-234;
ACC:-994,-592,16449;GYRO:-182,-401,-234;
ACC:-994,-591,16445;GYRO:-182,-401,-234;
ACC:-997,-590,16443;GYRO:-181,-401,-234;
ACC:-999,-587,16451;GYRO:-180,-400,-234;
ACC:-1004,-584,16456;GYRO:-179,-400,-234;
ACC:-1008,-583,16460;GYRO:-178,-400,-235;
ACC:-1012,-583,16462;GYRO:-178,-400,-236;
ACC:-1015,-584,16462;GYRO:-177,-401,-236;
ACC:-1017,-584,16461;GYRO:-177,-401,-236;
ACC:-1018,-586,16461;GYRO:-177,-401,-237;
ACC:-1017,-585,16462;GYRO:-176,-400,-236;
ACC:-1013,-585,16465;GYRO:-175,-400,-235;
ACC:-1010,-589,16470;GYRO:-176,-400,-234;
ACC:-1008,-592,16474;GYRO:-176,-400,-234;
ACC:-1005,-596,16480;GYRO:-176,-400,-234;
ACC:-1003,-597,16483;GYRO:-176,-400,-233;
ACC:-1002,-597,16485;GYRO:-176,-399,-232;
ACC:-1003,-596,16489;GYRO:-176,-399,-232;
ACC:-1004,-594,16494;GYRO:-175,-398,-232;
ACC:-1004,-595,16498;GYRO:-175,-398,-233;
ACC:-1004,-595,16499;GYRO:-175,-398,-234;
ACC:-1005,-593,16498;GYRO:-175,-398,-235;
ACC:-1005,-590,16492;GYRO:-174,-397,-235;
ACC:-1002,-587,16488;GYRO:-174,-396,-235;
ACC:-1001,-583,16485;GYRO:-176,-396,-235;
ACC:-1000,-579,16482;GYRO:-177,-396,-236;
ACC:-1001,-578,16480;GYRO:-178,-395,-236;
ACC:-998,-578,16480;GYRO:-178,-394,-236;
ACC:-996,-577,16479;GYRO:-179,-394,-236;
ACC:-996,-576,16479;GYRO:-180,-394,-235;
ACC:-998,-576,16484;GYRO:-180,-393,-234;
ACC:-1000,-578,16489;GYRO:-180,-393,-233;
ACC:-1002,-581,16496;GYRO:-180,-393,-233;
ACC:-1005,-583,16499;GYRO:-179,-394,-233;
ACC:-1006,-585,16500;GYRO:-178,-394,-233;
ACC:-1006,-586,16501;GYRO:-177,-394,-232;
ACC:-1002,-586,16502;GYRO:-177,-395,-231;
ACC:-1002,-585,16503;GYRO:-176,-396,-230;
ACC:-1001,-584,16507;GYRO:-175,-396,-229;
